Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Deer,Conditions,Cirrhosis,2018-01,England,1,780,4,0.128
Deer,Conditions,Cirrhosis,2018-03,England,1,460,5,0.217
Deer,Conditions,Contamination,2018-01,England,18,780,4,2.308
Deer,Conditions,Contamination,2018-02,England,9,632,5,1.424
Deer,Conditions,Contamination,2018-03,England,11,460,5,2.391
Deer,Conditions,Fascioliasis (fluke),2018-01,England,16,780,4,2.051
Deer,Conditions,Fascioliasis (fluke),2018-02,England,14,632,5,2.215
Deer,Conditions,Fascioliasis (fluke),2018-03,England,1,460,5,0.217
Deer,Conditions,Fascioliasis (fluke),2018-01,Wales,2,16,1,12.5
Deer,Conditions,"Notifiable: TB, Anthrax, Foot and Mouth",2018-01,England,14,780,4,1.795
Deer,Conditions,Oedema / Emaciation,2018-01,England,1,780,4,0.128
Deer,Conditions,Oedema / Emaciation,2018-02,Wales,1,18,1,5.556
Deer,Conditions,Trauma,2018-01,England,11,780,4,1.41
Deer,Conditions,Trauma,2018-02,England,6,632,5,0.949
Deer,Conditions,Trauma,2018-03,England,10,460,5,2.174
Farmed deer,Conditions,Contamination,2018-03,England,1,16,1,6.25
Farmed deer,Conditions,Fascioliasis (fluke),2018-01,England,1,18,1,5.556
Farmed deer,Conditions,Fascioliasis (Fluke),2018-02,England,2,15,1,13.333
Farmed deer,Conditions,"Notifiable: TB, Anthrax, Foot and Mouth",2018-03,England,1,16,1,6.25
Large Wild Game,Conditions,Contamination,2018-01,England,19,655,9,2.901
Large Wild Game,Conditions,Contamination,2018-02,England,23,685,8,3.358
Large Wild Game,Conditions,Contamination,2018-03,England,1,748,6,0.134
Large Wild Game,Conditions,Fascioliasis (fluke),2018-02,England,1,685,8,0.146
Large Wild Game,Conditions,Joint Lesions,2018-01,England,1,655,9,0.153
Large Wild Game,Conditions,Joint Lesions,2018-03,England,2,748,6,0.267
Large Wild Game,Conditions,"Notifiable: TB, Anthrax, Foot and Mouth",2018-02,England,1,685,8,0.146
Large Wild Game,Conditions,Oedema / Emaciation,2018-01,England,2,655,9,0.305
Large Wild Game,Conditions,Oedema / Emaciation,2018-02,England,3,685,8,0.438
Large Wild Game,Conditions,Oedema / Emaciation,2018-03,England,2,748,6,0.267
Large Wild Game,Conditions,Trauma,2018-01,England,213,655,9,32.519
Large Wild Game,Conditions,Trauma,2018-02,England,225,685,8,32.847
Large Wild Game,Conditions,Trauma,2018-03,England,277,748,6,37.032
Large Wild Game,Conditions,Warble Fly,2018-01,England,1,655,9,0.153
Large Wild Game,Conditions,Warble Fly,2018-02,England,1,685,8,0.146
Ratites,Conditions,Cirrhosis,2018-03,England,1,1,1,100
Small wild game in feather,Conditions,"Abnormal Smell, Colour",2018-01,England,924,84757,6,1.09
Small wild game in feather,Conditions,"Abnormal Smell, Colour",2018-02,England,302,26480,5,1.14
Small wild game in feather,Conditions,Ascites/Oedema,2018-01,England,6,84757,6,0.007
Small wild game in feather,Conditions,Ascites/Oedema,2018-02,England,12,26480,5,0.045
Small wild game in feather,Conditions,Contamination,2018-01,England,405,84757,6,0.478
Small wild game in feather,Conditions,Contamination,2018-02,England,107,26480,5,0.404
Small wild game in feather,Conditions,Emaciation/Cachexia,2018-01,England,17,84757,6,0.02
Small wild game in feather,Conditions,Emaciation/Cachexia,2018-02,England,5,26480,5,0.019
Small wild game in feather,Conditions,Oedema / Emaciation,2018-01,England,7,84757,6,0.008
Small wild game in feather,Conditions,Trauma,2018-01,England,707,84757,6,0.834
Small wild game in feather,Conditions,Trauma,2018-02,England,203,26480,5,0.767
Small wild game in feather,Conditions,Trauma,2018-03,England,1,11573,3,0.009
Small wild game in fur,Conditions,"Abnormal Smell, Colour",2018-01,England,1,1906,4,0.052
Small wild game in fur,Conditions,"Abnormal Smell, Colour",2018-02,England,1,1616,4,0.062
Small wild game in fur,Conditions,Contamination,2018-02,England,1,1616,4,0.062
Small wild game in fur,Conditions,Trauma,2018-01,England,3,1906,4,0.157
