Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Cattle,AnteMortem,Emergency Slaughter on Farm ,2019-12,England,1,118405,131,0.001
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-10,England,1,146691,131,0.001
Cattle,AnteMortem,Lameness – Not Defined,2019-12,England,2,118405,131,0.002
Cattle,AnteMortem,Slaughtered in Lairage,2019-11,England,1,140725,131,0.001
Cattle,AnteMortem,Suspect Emaciation/Poor Condition,2019-10,England,1,146691,131,0.001
Cattle,AnteMortem,Trauma – Soft Tissue,2019-12,England,1,118405,131,0.001
Cattle,Carcases,Abscesses – Hindquarters,2019-12,England,1,118405,131,0.001
Cattle,Carcases,Bruising,2019-12,England,3,118405,131,0.003
Cattle,Carcases,Contamination,2019-11,England,1,140725,131,0.001
Cattle,Carcases,Contamination,2019-12,England,2,118405,131,0.002
Cattle,Carcases,Other,2019-11,England,2,140725,131,0.001
Cattle,Carcases,Other,2019-12,England,3,118405,131,0.003
Cattle,Offal,Contamination,2019-11,England,1,140725,131,0.001
Cattle,Offal,Fluke Immature,2019-10,England,4,146691,131,0.003
Cattle,Offal,Fluke Immature,2019-11,England,1,140725,131,0.001
Cattle,Offal,Fluke Immature,2019-12,England,7,118405,131,0.006
Cattle,Offal,Fluke Mature,2019-10,England,3,146691,131,0.002
Cattle,Offal,Fluke Mature,2019-11,England,6,140725,131,0.004
Cattle,Offal,Fluke Mature,2019-12,England,16,118405,131,0.014
Cattle,Offal,Fluke Mature,2019-11,Wales,1,12955,14,0.008
Cattle,Offal,Hepatic Scarring,2019-10,England,3,146691,131,0.002
Cattle,Offal,Hepatic Scarring,2019-11,England,1,140725,131,0.001
Cattle,Offal,Hepatic Scarring,2019-12,England,2,118405,131,0.002
Cattle,Offal,Liver Abscesses,2019-10,England,2,146691,131,0.001
Cattle,Offal,Liver Abscesses,2019-11,England,7,140725,131,0.005
Cattle,Offal,Liver Abscesses,2019-12,England,5,118405,131,0.004
Cattle,Offal,Other,2019-10,England,1,146691,131,0.001
Cattle,Offal,Other,2019-11,England,12,140725,131,0.009
Cattle,Offal,Other,2019-12,England,4,118405,131,0.003
Cattle,Offal,Pleurisy,2019-10,England,2,146691,131,0.001
Cattle,Offal,Pleurisy,2019-11,England,1,140725,131,0.001
Cattle,Offal,Pleurisy,2019-12,England,5,118405,131,0.004
Cattle,Offal,Pneumonia,2019-10,England,4,146691,131,0.003
Cattle,Offal,Pneumonia,2019-11,England,4,140725,131,0.003
Cattle,Offal,Pneumonia,2019-12,England,7,118405,131,0.006
Cattle,Offal,Traumatic Pericarditis,2019-11,England,1,140725,131,0.001
Cattle,Offal,Traumatic Pericarditis,2019-12,England,3,118405,131,0.003
Deer,Conditions,Cirrhosis,2019-10,England,1,946,9,0.106
Deer,Conditions,Cirrhosis,2019-11,England,2,1060,9,0.189
Deer,Conditions,Cirrhosis,2019-12,England,1,941,9,0.106
Deer,Conditions,Contamination,2019-10,England,30,946,9,3.171
Deer,Conditions,Contamination,2019-11,England,3,1060,9,0.283
Deer,Conditions,Contamination,2019-12,England,11,941,9,1.169
Deer,Conditions,Contamination,2019-12,Wales,1,18,1,5.556
Deer,Conditions,Fascioliasis (fluke),2019-10,England,40,946,9,4.228
Deer,Conditions,Fascioliasis (fluke),2019-11,England,8,1060,9,0.755
Deer,Conditions,Fascioliasis (fluke),2019-12,England,3,941,9,0.319
Deer,Conditions,Joint Lesions,2019-10,England,2,946,9,0.211
Deer,Conditions,Trauma,2019-10,England,5,946,9,0.529
